route_id,source_id,source_type,destination_id,destination_type,distance_km,travel_time_minutes,transport_capacity,traffic_factor,route_status
RT_00289,BB_010,Blood_Bank,HOSP_019,Hospital,46.45,105.6,50,1.44,Congested
RT_00290,BB_010,Blood_Bank,HOSP_020,Hospital,22.48,37.3,50,1.05,Active
RT_00291,BB_010,Blood_Bank,HOSP_021,Hospital,22.82,50.8,30,1.41,Active
RT_00292,BB_010,Blood_Bank,HOSP_022,Hospital,9.91,22.7,80,1.45,Active
RT_00293,BB_010,Blood_Bank,HOSP_023,Hospital,54.63,100.9,120,1.17,Active
RT_00294,BB_010,Blood_Bank,HOSP_024,Hospital,9.58,17.1,50,1.13,Active
RT_00295,BB_010,Blood_Bank,HOSP_025,Hospital,20.98,44.1,100,1.33,Active
RT_00296,BB_010,Blood_Bank,HOSP_026,Hospital,16.55,33.4,80,1.28,Active
RT_00297,BB_010,Blood_Bank,HOSP_027,Hospital,20.23,34.5,50,1.08,Active
RT_00298,BB_010,Blood_Bank,HOSP_028,Hospital,6.36,11.3,80,1.13,Disrupted
RT_00299,BB_010,Blood_Bank,HOSP_029,Hospital,67.13,117.7,30,1.11,Active
RT_00300,BB_010,Blood_Bank,HOSP_030,Hospital,44.84,95.6,120,1.35,Active
RT_00301,HOSP_001,Hospital,HOSP_002,Hospital,7.44,15.7,20,1.34,Active
RT_00302,HOSP_001,Hospital,HOSP_004,Hospital,12.39,27.8,20,1.42,Active
RT_00303,HOSP_001,Hospital,HOSP_005,Hospital,26.05,46.9,20,1.14,Active
RT_00304,HOSP_001,Hospital,HOSP_006,Hospital,10.9,22.2,20,1.29,Active
RT_00305,HOSP_001,Hospital,HOSP_007,Hospital,24.57,45.8,60,1.18,Disrupted
RT_00306,HOSP_001,Hospital,HOSP_008,Hospital,11.35,25.8,40,1.44,Active
RT_00307,HOSP_001,Hospital,HOSP_011,Hospital,18.69,41.6,40,1.41,Active
RT_00308,HOSP_001,Hospital,HOSP_012,Hospital,17.72,34.4,40,1.23,Active
RT_00309,HOSP_001,Hospital,HOSP_013,Hospital,10.13,23.2,60,1.45,Active
RT_00310,HOSP_001,Hospital,HOSP_016,Hospital,14.5,33.0,40,1.44,Active
RT_00311,HOSP_001,Hospital,HOSP_017,Hospital,27.65,63.7,40,1.46,Active
RT_00312,HOSP_001,Hospital,HOSP_020,Hospital,18.73,39.0,20,1.32,Active
RT_00313,HOSP_001,Hospital,HOSP_022,Hospital,11.18,24.2,60,1.37,Active
RT_00314,HOSP_001,Hospital,HOSP_024,Hospital,13.06,26.8,30,1.3,Active
RT_00315,HOSP_001,Hospital,HOSP_026,Hospital,12.33,28.4,60,1.46,Active
RT_00316,HOSP_001,Hospital,HOSP_027,Hospital,21.27,41.6,20,1.24,Active
RT_00317,HOSP_001,Hospital,HOSP_028,Hospital,2.14,3.7,30,1.09,Active
RT_00318,HOSP_002,Hospital,HOSP_001,Hospital,7.44,16.3,20,1.39,Active
RT_00319,HOSP_002,Hospital,HOSP_003,Hospital,14.43,33.5,30,1.47,Congested
RT_00320,HOSP_002,Hospital,HOSP_004,Hospital,5.98,11.0,30,1.16,Active
RT_00321,HOSP_002,Hospital,HOSP_005,Hospital,19.31,33.5,40,1.1,Disrupted
RT_00322,HOSP_002,Hospital,HOSP_006,Hospital,14.79,33.4,40,1.43,Active
RT_00323,HOSP_002,Hospital,HOSP_007,Hospital,18.02,42.7,30,1.5,Active
RT_00324,HOSP_002,Hospital,HOSP_008,Hospital,9.15,21.4,40,1.48,Active
RT_00325,HOSP_002,Hospital,HOSP_011,Hospital,21.81,50.3,30,1.46,Active
RT_00326,HOSP_002,Hospital,HOSP_012,Hospital,14.85,30.2,40,1.29,Active
RT_00327,HOSP_002,Hospital,HOSP_013,Hospital,3.92,7.6,40,1.23,Active
RT_00328,HOSP_002,Hospital,HOSP_016,Hospital,17.3,32.2,60,1.18,Active
RT_00329,HOSP_002,Hospital,HOSP_020,Hospital,21.6,50.8,60,1.49,Active
RT_00330,HOSP_002,Hospital,HOSP_021,Hospital,17.52,35.4,60,1.28,Disrupted
RT_00331,HOSP_002,Hospital,HOSP_022,Hospital,4.6,8.1,40,1.11,Active
RT_00332,HOSP_002,Hospital,HOSP_024,Hospital,6.18,10.9,60,1.12,Active
RT_00333,HOSP_002,Hospital,HOSP_027,Hospital,14.88,28.0,30,1.19,Active
RT_00334,HOSP_002,Hospital,HOSP_028,Hospital,9.42,20.4,20,1.37,Active
RT_00335,HOSP_003,Hospital,HOSP_002,Hospital,14.43,26.7,60,1.17,Active
RT_00336,HOSP_003,Hospital,HOSP_004,Hospital,8.83,15.8,60,1.13,Active
RT_00337,HOSP_003,Hospital,HOSP_005,Hospital,10.45,20.0,30,1.21,Active
RT_00338,HOSP_003,Hospital,HOSP_006,Hospital,17.47,31.2,20,1.13,Active
RT_00339,HOSP_003,Hospital,HOSP_007,Hospital,8.56,15.3,40,1.13,Active
RT_00340,HOSP_003,Hospital,HOSP_008,Hospital,8.38,17.1,40,1.29,Active
RT_00341,HOSP_003,Hospital,HOSP_011,Hospital,19.86,44.5,30,1.42,Active
RT_00342,HOSP_003,Hospital,HOSP_012,Hospital,4.75,8.8,60,1.17,Active
RT_00343,HOSP_003,Hospital,HOSP_013,Hospital,10.53,19.5,40,1.17,Active
RT_00344,HOSP_003,Hospital,HOSP_014,Hospital,22.74,46.0,40,1.28,Active
RT_00345,HOSP_003,Hospital,HOSP_016,Hospital,16.68,32.7,20,1.24,Active
RT_00346,HOSP_003,Hospital,HOSP_020,Hospital,19.23,36.4,20,1.2,Congested
RT_00347,HOSP_003,Hospital,HOSP_021,Hospital,10.24,17.5,30,1.08,Active
RT_00348,HOSP_003,Hospital,HOSP_022,Hospital,10.11,20.3,30,1.27,Active
RT_00349,HOSP_003,Hospital,HOSP_024,Hospital,16.15,31.1,40,1.22,Active
RT_00350,HOSP_003,Hospital,HOSP_027,Hospital,6.06,10.7,30,1.12,Active
RT_00351,HOSP_004,Hospital,HOSP_001,Hospital,12.39,22.5,30,1.15,Active
RT_00352,HOSP_004,Hospital,HOSP_002,Hospital,5.98,11.9,20,1.26,Active
RT_00353,HOSP_004,Hospital,HOSP_003,Hospital,8.83,17.0,40,1.22,Active
RT_00354,HOSP_004,Hospital,HOSP_005,Hospital,13.67,28.7,30,1.33,Active
RT_00355,HOSP_004,Hospital,HOSP_006,Hospital,15.89,32.9,60,1.31,Active
RT_00356,HOSP_004,Hospital,HOSP_007,Hospital,12.23,20.9,20,1.08,Active
RT_00357,HOSP_004,Hospital,HOSP_008,Hospital,6.87,13.2,60,1.22,Active
RT_00358,HOSP_004,Hospital,HOSP_011,Hospital,21.43,45.0,60,1.33,Active
RT_00359,HOSP_004,Hospital,HOSP_012,Hospital,10.47,21.2,60,1.28,Active
RT_00360,HOSP_004,Hospital,HOSP_013,Hospital,2.27,5.1,30,1.42,Active
RT_00361,HOSP_004,Hospital,HOSP_016,Hospital,17.14,36.8,40,1.36,Active
RT_00362,HOSP_004,Hospital,HOSP_020,Hospital,21.03,39.8,40,1.2,Active
RT_00363,HOSP_004,Hospital,HOSP_021,Hospital,12.07,21.2,60,1.11,Active
RT_00364,HOSP_004,Hospital,HOSP_022,Hospital,1.38,2.9,60,1.32,Active
RT_00365,HOSP_004,Hospital,HOSP_024,Hospital,7.72,13.8,60,1.13,Active
RT_00366,HOSP_004,Hospital,HOSP_027,Hospital,9.0,16.5,30,1.16,Active
RT_00367,HOSP_004,Hospital,HOSP_028,Hospital,13.97,28.5,40,1.29,Active
RT_00368,HOSP_005,Hospital,HOSP_001,Hospital,26.05,53.5,60,1.3,Active
RT_00369,HOSP_005,Hospital,HOSP_002,Hospital,19.31,40.6,20,1.33,Congested
RT_00370,HOSP_005,Hospital,HOSP_003,Hospital,10.45,20.5,20,1.24,Active
RT_00371,HOSP_005,Hospital,HOSP_004,Hospital,13.67,23.5,60,1.09,Active
RT_00372,HOSP_005,Hospital,HOSP_006,Hospital,27.3,63.4,40,1.47,Active
RT_00373,HOSP_005,Hospital,HOSP_007,Hospital,1.89,4.1,30,1.36,Active
RT_00374,HOSP_005,Hospital,HOSP_008,Hospital,17.53,41.0,40,1.48,Active
RT_00375,HOSP_005,Hospital,HOSP_012,Hospital,15.18,34.8,20,1.45,Active
RT_00376,HOSP_005,Hospital,HOSP_013,Hospital,15.94,34.0,60,1.35,Congested
RT_00377,HOSP_005,Hospital,HOSP_014,Hospital,14.97,26.2,60,1.11,Active
RT_00378,HOSP_005,Hospital,HOSP_016,Hospital,26.99,56.3,40,1.32,Active
RT_00379,HOSP_005,Hospital,HOSP_019,Hospital,27.89,49.8,40,1.13,Active
RT_00380,HOSP_005,Hospital,HOSP_021,Hospital,2.13,4.4,30,1.32,Active
RT_00381,HOSP_005,Hospital,HOSP_022,Hospital,14.93,25.7,30,1.09,Active
RT_00382,HOSP_005,Hospital,HOSP_024,Hospital,17.34,34.5,30,1.26,Active
RT_00383,HOSP_005,Hospital,HOSP_027,Hospital,5.07,8.6,30,1.08,Active
RT_00384,HOSP_005,Hospital,HOSP_028,Hospital,27.57,64.4,20,1.48,Congested
RT_00385,HOSP_006,Hospital,HOSP_001,Hospital,10.9,23.9,30,1.39,Active
RT_00386,HOSP_006,Hospital,HOSP_002,Hospital,14.79,26.4,40,1.13,Active
RT_00387,HOSP_006,Hospital,HOSP_003,Hospital,17.47,35.3,20,1.28,Active
RT_00388,HOSP_006,Hospital,HOSP_004,Hospital,15.89,35.6,20,1.42,Active
RT_00389,HOSP_006,Hospital,HOSP_005,Hospital,27.3,57.8,20,1.34,Active
RT_00390,HOSP_006,Hospital,HOSP_007,Hospital,25.46,51.1,60,1.27,Active
RT_00391,HOSP_006,Hospital,HOSP_008,Hospital,9.84,22.2,40,1.43,Congested
RT_00392,HOSP_006,Hospital,HOSP_011,Hospital,7.8,15.3,40,1.24,Active
RT_00393,HOSP_006,Hospital,HOSP_012,Hospital,13.65,26.3,60,1.22,Active
RT_00394,HOSP_006,Hospital,HOSP_013,Hospital,14.5,29.8,30,1.3,Active
RT_00395,HOSP_006,Hospital,HOSP_016,Hospital,3.91,9.1,20,1.47,Active
RT_00396,HOSP_006,Hospital,HOSP_017,Hospital,20.75,47.8,40,1.46,Active
RT_00397,HOSP_006,Hospital,HOSP_020,Hospital,7.88,17.3,30,1.39,Active
RT_00398,HOSP_006,Hospital,HOSP_021,Hospital,26.38,46.7,30,1.12,Active
RT_00399,HOSP_006,Hospital,HOSP_022,Hospital,15.49,29.3,40,1.2,Active
RT_00400,HOSP_006,Hospital,HOSP_024,Hospital,20.87,44.2,20,1.34,Active
RT_00401,HOSP_006,Hospital,HOSP_025,Hospital,27.34,54.4,40,1.26,Active
RT_00402,HOSP_006,Hospital,HOSP_026,Hospital,8.49,15.3,20,1.14,Active
RT_00403,HOSP_006,Hospital,HOSP_027,Hospital,22.27,45.0,40,1.28,Active
RT_00404,HOSP_006,Hospital,HOSP_028,Hospital,9.62,18.4,20,1.21,Active
RT_00405,HOSP_007,Hospital,HOSP_001,Hospital,24.57,52.0,30,1.34,Active
RT_00406,HOSP_007,Hospital,HOSP_002,Hospital,18.02,40.7,30,1.43,Active
RT_00407,HOSP_007,Hospital,HOSP_003,Hospital,8.56,18.4,30,1.36,Disrupted
RT_00408,HOSP_007,Hospital,HOSP_004,Hospital,12.23,24.5,20,1.27,Active
RT_00409,HOSP_007,Hospital,HOSP_005,Hospital,1.89,4.0,20,1.34,Active
RT_00410,HOSP_007,Hospital,HOSP_006,Hospital,25.46,54.7,30,1.36,Active
RT_00411,HOSP_007,Hospital,HOSP_008,Hospital,15.73,34.3,60,1.38,Active
RT_00412,HOSP_007,Hospital,HOSP_012,Hospital,13.29,25.8,30,1.23,Active
RT_00413,HOSP_007,Hospital,HOSP_013,Hospital,14.51,30.7,30,1.34,Active
RT_00414,HOSP_007,Hospital,HOSP_014,Hospital,16.2,34.3,30,1.34,Active
RT_00415,HOSP_007,Hospital,HOSP_016,Hospital,25.1,43.2,40,1.09,Active
RT_00416,HOSP_007,Hospital,HOSP_020,Hospital,27.79,51.8,60,1.18,Active
RT_00417,HOSP_007,Hospital,HOSP_021,Hospital,2.49,4.7,20,1.19,Active
RT_00418,HOSP_007,Hospital,HOSP_022,Hospital,13.54,23.1,60,1.08,Active
RT_00419,HOSP_007,Hospital,HOSP_024,Hospital,16.58,30.6,60,1.17,Active
RT_00420,HOSP_007,Hospital,HOSP_027,Hospital,3.35,6.7,60,1.27,Active
RT_00421,HOSP_007,Hospital,HOSP_028,Hospital,26.02,61.6,40,1.5,Active
RT_00422,HOSP_008,Hospital,HOSP_001,Hospital,11.35,24.9,40,1.39,Active
RT_00423,HOSP_008,Hospital,HOSP_002,Hospital,9.15,17.6,60,1.22,Active
RT_00424,HOSP_008,Hospital,HOSP_003,Hospital,8.38,14.7,20,1.11,Active
RT_00425,HOSP_008,Hospital,HOSP_004,Hospital,6.87,14.3,20,1.32,Active
RT_00426,HOSP_008,Hospital,HOSP_005,Hospital,17.53,36.0,30,1.3,Active
RT_00427,HOSP_008,Hospital,HOSP_006,Hospital,9.84,18.0,60,1.16,Active
RT_00428,HOSP_008,Hospital,HOSP_007,Hospital,15.73,28.1,30,1.13,Active
RT_00429,HOSP_008,Hospital,HOSP_011,Hospital,14.59,25.6,30,1.11,Active
RT_00430,HOSP_008,Hospital,HOSP_012,Hospital,6.39,13.0,30,1.29,Active
RT_00431,HOSP_008,Hospital,HOSP_013,Hospital,6.5,11.1,30,1.08,Active
RT_00432,HOSP_008,Hospital,HOSP_016,Hospital,10.41,24.2,60,1.47,Active
RT_00433,HOSP_008,Hospital,HOSP_020,Hospital,14.17,27.7,30,1.24,Active
RT_00434,HOSP_008,Hospital,HOSP_021,Hospital,16.55,30.3,20,1.16,Active
RT_00435,HOSP_008,Hospital,HOSP_022,Hospital,7.08,15.8,40,1.41,Active
RT_00436,HOSP_008,Hospital,HOSP_024,Hospital,13.81,27.0,40,1.24,Disrupted
RT_00437,HOSP_008,Hospital,HOSP_026,Hospital,17.44,30.0,20,1.09,Active
RT_00438,HOSP_008,Hospital,HOSP_027,Hospital,12.48,23.6,40,1.2,Active
RT_00439,HOSP_008,Hospital,HOSP_028,Hospital,11.94,24.9,60,1.32,Active
RT_00440,HOSP_009,Hospital,HOSP_014,Hospital,26.56,51.6,20,1.23,Active
RT_00441,HOSP_010,Hospital,HOSP_014,Hospital,19.21,39.7,30,1.31,Active
RT_00442,HOSP_010,Hospital,HOSP_015,Hospital,18.78,44.2,20,1.49,Active
RT_00443,HOSP_011,Hospital,HOSP_001,Hospital,18.69,38.4,60,1.3,Active
RT_00444,HOSP_011,Hospital,HOSP_002,Hospital,21.81,39.9,30,1.16,Active
RT_00445,HOSP_011,Hospital,HOSP_003,Hospital,19.86,46.4,40,1.48,Active
RT_00446,HOSP_011,Hospital,HOSP_004,Hospital,21.43,40.3,30,1.19,Active
RT_00447,HOSP_011,Hospital,HOSP_006,Hospital,7.8,15.8,20,1.28,Active
RT_00448,HOSP_011,Hospital,HOSP_008,Hospital,14.59,32.0,20,1.39,Active
RT_00449,HOSP_011,Hospital,HOSP_012,Hospital,15.18,30.9,20,1.29,Active
RT_00450,HOSP_011,Hospital,HOSP_013,Hospital,20.62,37.8,60,1.16,Active
RT_00451,HOSP_011,Hospital,HOSP_016,Hospital,4.51,7.8,30,1.09,Active
RT_00452,HOSP_011,Hospital,HOSP_017,Hospital,18.75,33.5,40,1.13,Active
RT_00453,HOSP_011,Hospital,HOSP_020,Hospital,1.0,2.2,20,1.38,Congested
RT_00454,HOSP_011,Hospital,HOSP_022,Hospital,21.43,47.0,40,1.39,Active
RT_00455,HOSP_011,Hospital,HOSP_024,Hospital,27.61,52.7,30,1.21,Active
RT_00456,HOSP_011,Hospital,HOSP_026,Hospital,12.91,28.9,30,1.42,Active
RT_00457,HOSP_011,Hospital,HOSP_027,Hospital,25.62,51.4,30,1.27,Active
RT_00458,HOSP_011,Hospital,HOSP_028,Hospital,17.39,38.2,30,1.39,Active
RT_00459,HOSP_012,Hospital,HOSP_001,Hospital,17.72,34.7,20,1.24,Active
RT_00460,HOSP_012,Hospital,HOSP_002,Hospital,14.85,27.9,20,1.19,Active
RT_00461,HOSP_012,Hospital,HOSP_003,Hospital,4.75,9.2,40,1.22,Active
RT_00462,HOSP_012,Hospital,HOSP_004,Hospital,10.47,23.8,60,1.44,Active
RT_00463,HOSP_012,Hospital,HOSP_005,Hospital,15.18,26.4,40,1.1,Active
RT_00464,HOSP_012,Hospital,HOSP_006,Hospital,13.65,23.7,20,1.1,Active
RT_00465,HOSP_012,Hospital,HOSP_007,Hospital,13.29,29.4,40,1.4,Active
RT_00466,HOSP_012,Hospital,HOSP_008,Hospital,6.39,14.5,40,1.44,Active
RT_00467,HOSP_012,Hospital,HOSP_011,Hospital,15.18,27.1,20,1.13,Active
RT_00468,HOSP_012,Hospital,HOSP_013,Hospital,11.36,20.4,40,1.14,Active
RT_00469,HOSP_012,Hospital,HOSP_014,Hospital,26.62,45.8,60,1.09,Active
RT_00470,HOSP_012,Hospital,HOSP_016,Hospital,12.28,24.8,20,1.28,Active
RT_00471,HOSP_012,Hospital,HOSP_020,Hospital,14.54,25.7,20,1.12,Active
RT_00472,HOSP_012,Hospital,HOSP_021,Hospital,14.97,35.0,30,1.48,Active
RT_00473,HOSP_012,Hospital,HOSP_022,Hospital,11.4,24.3,60,1.35,Active
RT_00474,HOSP_012,Hospital,HOSP_027,Hospital,10.75,21.4,40,1.26,Active
RT_00475,HOSP_013,Hospital,HOSP_001,Hospital,10.13,23.7,30,1.48,Active
RT_00476,HOSP_013,Hospital,HOSP_002,Hospital,3.92,7.2,20,1.17,Active
RT_00477,HOSP_013,Hospital,HOSP_003,Hospital,10.53,23.9,30,1.44,Active
RT_00478,HOSP_013,Hospital,HOSP_004,Hospital,2.27,4.6,30,1.28,Active
RT_00479,HOSP_013,Hospital,HOSP_005,Hospital,15.94,28.7,30,1.14,Active
RT_00480,HOSP_013,Hospital,HOSP_006,Hospital,14.5,30.9,30,1.35,Active
RT_00481,HOSP_013,Hospital,HOSP_007,Hospital,14.51,28.6,30,1.25,Disrupted
RT_00482,HOSP_013,Hospital,HOSP_008,Hospital,6.5,11.7,60,1.14,Active
RT_00483,HOSP_013,Hospital,HOSP_011,Hospital,20.62,44.6,40,1.37,Active
RT_00484,HOSP_013,Hospital,HOSP_012,Hospital,11.36,21.3,40,1.19,Active
RT_00485,HOSP_013,Hospital,HOSP_016,Hospital,16.2,37.6,60,1.47,Active
RT_00486,HOSP_013,Hospital,HOSP_020,Hospital,20.29,43.2,20,1.35,Active
RT_00487,HOSP_013,Hospital,HOSP_021,Hospital,14.31,24.4,30,1.08,Active
RT_00488,HOSP_013,Hospital,HOSP_022,Hospital,1.11,2.2,60,1.23,Active
RT_00489,HOSP_013,Hospital,HOSP_024,Hospital,7.31,14.3,20,1.24,Active
RT_00490,HOSP_013,Hospital,HOSP_027,Hospital,11.26,19.9,30,1.12,Active
RT_00491,HOSP_013,Hospital,HOSP_028,Hospital,11.76,26.9,60,1.45,Active
RT_00492,HOSP_014,Hospital,HOSP_003,Hospital,22.74,51.3,60,1.43,Active
RT_00493,HOSP_014,Hospital,HOSP_005,Hospital,14.97,31.0,40,1.31,Active
RT_00494,HOSP_014,Hospital,HOSP_007,Hospital,16.2,37.3,40,1.46,Active
RT_00495,HOSP_014,Hospital,HOSP_009,Hospital,26.56,58.7,20,1.4,Active
RT_00496,HOSP_014,Hospital,HOSP_010,Hospital,19.21,33.1,30,1.09,Active
RT_00497,HOSP_014,Hospital,HOSP_012,Hospital,26.62,59.7,20,1.42,Active
RT_00498,HOSP_014,Hospital,HOSP_019,Hospital,24.54,50.4,40,1.3,Congested
RT_00499,HOSP_014,Hospital,HOSP_021,Hospital,16.93,29.7,20,1.11,Active
RT_00500,HOSP_014,Hospital,HOSP_027,Hospital,19.45,43.6,30,1.42,Active
RT_00501,HOSP_015,Hospital,HOSP_010,Hospital,18.78,42.4,30,1.43,Active
RT_00502,HOSP_016,Hospital,HOSP_001,Hospital,14.5,29.8,30,1.3,Active
RT_00503,HOSP_016,Hospital,HOSP_002,Hospital,17.3,39.1,20,1.43,Active
RT_00504,HOSP_016,Hospital,HOSP_003,Hospital,16.68,31.3,20,1.19,Active
RT_00505,HOSP_016,Hospital,HOSP_004,Hospital,17.14,31.1,20,1.15,Active
RT_00506,HOSP_016,Hospital,HOSP_005,Hospital,26.99,47.3,40,1.11,Active
RT_00507,HOSP_016,Hospital,HOSP_006,Hospital,3.91,8.2,40,1.33,Active
RT_00508,HOSP_016,Hospital,HOSP_007,Hospital,25.1,44.8,20,1.13,Active
RT_00509,HOSP_016,Hospital,HOSP_008,Hospital,10.41,24.7,60,1.5,Active
RT_00510,HOSP_016,Hospital,HOSP_011,Hospital,4.51,7.8,20,1.09,Active
RT_00511,HOSP_016,Hospital,HOSP_012,Hospital,12.28,25.6,20,1.32,Active
RT_00512,HOSP_016,Hospital,HOSP_013,Hospital,16.2,35.0,20,1.37,Active
RT_00513,HOSP_016,Hospital,HOSP_017,Hospital,21.0,41.8,60,1.26,Active
RT_00514,HOSP_016,Hospital,HOSP_020,Hospital,4.35,7.8,60,1.13,Active
RT_00515,HOSP_016,Hospital,HOSP_021,Hospital,26.37,57.5,30,1.38,Active
RT_00516,HOSP_016,Hospital,HOSP_022,Hospital,17.05,38.5,20,1.43,Active
RT_00517,HOSP_016,Hospital,HOSP_024,Hospital,23.12,44.2,20,1.21,Active
RT_00518,HOSP_016,Hospital,HOSP_026,Hospital,11.35,25.1,20,1.4,Active
RT_00519,HOSP_016,Hospital,HOSP_027,Hospital,22.12,46.1,60,1.32,Active
RT_00520,HOSP_016,Hospital,HOSP_028,Hospital,13.41,23.7,20,1.12,Active
RT_00521,HOSP_017,Hospital,HOSP_001,Hospital,27.65,53.7,40,1.23,Active
RT_00522,HOSP_017,Hospital,HOSP_006,Hospital,20.75,40.6,30,1.24,Active
RT_00523,HOSP_017,Hospital,HOSP_011,Hospital,18.75,38.5,30,1.3,Active
RT_00524,HOSP_017,Hospital,HOSP_016,Hospital,21.0,36.5,60,1.1,Active
RT_00525,HOSP_017,Hospital,HOSP_020,Hospital,19.49,36.0,20,1.17,Active
RT_00526,HOSP_017,Hospital,HOSP_023,Hospital,25.21,47.8,20,1.2,Active
RT_00527,HOSP_017,Hospital,HOSP_026,Hospital,15.32,28.1,40,1.16,Active
RT_00528,HOSP_017,Hospital,HOSP_028,Hospital,25.52,48.4,30,1.2,Active
RT_00529,HOSP_017,Hospital,HOSP_030,Hospital,13.04,25.5,40,1.24,Active
RT_00530,HOSP_019,Hospital,HOSP_005,Hospital,27.89,58.6,30,1.33,Active
RT_00531,HOSP_019,Hospital,HOSP_014,Hospital,24.54,47.7,60,1.23,Active
RT_00532,HOSP_020,Hospital,HOSP_001,Hospital,18.73,42.6,30,1.44,Active
RT_00533,HOSP_020,Hospital,HOSP_002,Hospital,21.6,50.5,30,1.48,Congested
RT_00534,HOSP_020,Hospital,HOSP_003,Hospital,19.23,42.2,60,1.39,Active
RT_00535,HOSP_020,Hospital,HOSP_004,Hospital,21.03,40.8,30,1.23,Active
RT_00536,HOSP_020,Hospital,HOSP_006,Hospital,7.88,14.9,60,1.2,Active
RT_00537,HOSP_020,Hospital,HOSP_007,Hospital,27.79,60.6,30,1.38,Active
RT_00538,HOSP_020,Hospital,HOSP_008,Hospital,14.17,29.1,30,1.3,Active
RT_00539,HOSP_020,Hospital,HOSP_011,Hospital,1.0,1.9,60,1.19,Active
RT_00540,HOSP_020,Hospital,HOSP_012,Hospital,14.54,30.5,20,1.33,Active
RT_00541,HOSP_020,Hospital,HOSP_013,Hospital,20.29,35.6,20,1.11,Active
RT_00542,HOSP_020,Hospital,HOSP_016,Hospital,4.35,10.2,40,1.49,Active
RT_00543,HOSP_020,Hospital,HOSP_017,Hospital,19.49,39.7,30,1.29,Active
RT_00544,HOSP_020,Hospital,HOSP_022,Hospital,21.07,38.6,20,1.16,Active
RT_00545,HOSP_020,Hospital,HOSP_024,Hospital,27.34,60.4,20,1.4,Active
RT_00546,HOSP_020,Hospital,HOSP_026,Hospital,13.43,30.5,60,1.44,Active
RT_00547,HOSP_020,Hospital,HOSP_027,Hospital,25.04,49.4,60,1.25,Active
RT_00548,HOSP_020,Hospital,HOSP_028,Hospital,17.5,35.9,40,1.3,Active
RT_00549,HOSP_021,Hospital,HOSP_002,Hospital,17.52,35.1,60,1.27,Active
RT_00550,HOSP_021,Hospital,HOSP_003,Hospital,10.24,23.8,20,1.47,Active
RT_00551,HOSP_021,Hospital,HOSP_004,Hospital,12.07,26.9,60,1.41,Active
RT_00552,HOSP_021,Hospital,HOSP_005,Hospital,2.13,4.9,60,1.45,Active
RT_00553,HOSP_021,Hospital,HOSP_006,Hospital,26.38,61.2,30,1.47,Active
RT_00554,HOSP_021,Hospital,HOSP_007,Hospital,2.49,5.2,30,1.31,Active
RT_00555,HOSP_021,Hospital,HOSP_008,Hospital,16.55,31.1,20,1.19,Active
RT_00556,HOSP_021,Hospital,HOSP_012,Hospital,14.97,33.1,30,1.4,Disrupted
RT_00557,HOSP_021,Hospital,HOSP_013,Hospital,14.31,30.3,60,1.34,Active
RT_00558,HOSP_021,Hospital,HOSP_014,Hospital,16.93,35.0,40,1.31,Active
RT_00559,HOSP_021,Hospital,HOSP_016,Hospital,26.37,51.6,20,1.24,Active
RT_00560,HOSP_021,Hospital,HOSP_022,Hospital,13.26,27.6,60,1.32,Active
RT_00561,HOSP_021,Hospital,HOSP_024,Hospital,15.27,34.2,40,1.42,Active
RT_00562,HOSP_021,Hospital,HOSP_027,Hospital,4.27,9.0,30,1.33,Active
RT_00563,HOSP_022,Hospital,HOSP_001,Hospital,11.18,19.9,60,1.13,Active
RT_00564,HOSP_022,Hospital,HOSP_002,Hospital,4.6,10.7,20,1.48,Active
RT_00565,HOSP_022,Hospital,HOSP_003,Hospital,10.11,20.0,40,1.25,Active
RT_00566,HOSP_022,Hospital,HOSP_004,Hospital,1.38,2.6,30,1.2,Active
RT_00567,HOSP_022,Hospital,HOSP_005,Hospital,14.93,33.9,30,1.44,Active
RT_00568,HOSP_022,Hospital,HOSP_006,Hospital,15.49,27.9,20,1.14,Active
RT_00569,HOSP_022,Hospital,HOSP_007,Hospital,13.54,31.2,60,1.46,Active
RT_00570,HOSP_022,Hospital,HOSP_008,Hospital,7.08,16.1,20,1.44,Active
RT_00571,HOSP_022,Hospital,HOSP_011,Hospital,21.43,47.7,60,1.41,Active
RT_00572,HOSP_022,Hospital,HOSP_012,Hospital,11.4,21.2,20,1.18,Active
RT_00573,HOSP_022,Hospital,HOSP_013,Hospital,1.11,2.4,30,1.37,Active
RT_00574,HOSP_022,Hospital,HOSP_016,Hospital,17.05,39.3,40,1.46,Active
RT_00575,HOSP_022,Hospital,HOSP_020,Hospital,21.07,42.3,40,1.27,Active
RT_00576,HOSP_022,Hospital,HOSP_021,Hospital,13.26,28.1,40,1.34,Active
RT_00577,HOSP_022,Hospital,HOSP_024,Hospital,6.9,13.5,60,1.24,Active
RT_00578,HOSP_022,Hospital,HOSP_026,Hospital,21.43,44.7,20,1.32,Active
RT_00579,HOSP_022,Hospital,HOSP_027,Hospital,10.34,23.7,20,1.45,Active
RT_00580,HOSP_022,Hospital,HOSP_028,Hospital,12.85,25.6,40,1.26,Active
RT_00581,HOSP_023,Hospital,HOSP_017,Hospital,25.21,52.1,20,1.31,Active
RT_00582,HOSP_023,Hospital,HOSP_029,Hospital,15.21,33.9,20,1.41,Active
RT_00583,HOSP_023,Hospital,HOSP_030,Hospital,14.87,26.5,30,1.13,Active
